"Country","STD_REG_INDIVIDUALISM","STD_REG_GINI","STD_REG_RELIGIOSITY","STD_LOG_REG_GDP 2014","STD_SUICIDE GIRLS_REG","Psych Dist Girls","STD_REG_PSYCH DISTRESS GIRLS","STD_Pysch Distress Change Girls","Psych Distress Boys","STD_Pysch Distress Change Boys","Individualism","STD_Individualism","Religiositiy","STD_Religiosity","GINI 2014","STD_GINI 2014","GDP Per Capita 2014","LOG_GDP_2014","STD_LOG_GDP 2014","Suicide Girls","STD_Suicide Change Girls","Boys Suicide","STD_Suicide Change Boys","Suicide Change Girls 5 million+","STD_Suicide_Girls_5mill","Suicide Girls Since 2011-13","Suicide Change Boys 5 million+","STD_Suicide_Boys_5mill","Suicide Boys since 2011-13","Suicide Girls (High Pop)","Suicide Change Boys (High Pop)","Importance of Religion","STD_Suicide_Girls_High Population Size","STD_Suicide_Boys_High Population Size","AC","AD","Individualism Groups","2002 Distress Girls","2006 Psych Distress Girls","Going to Services","Belief in God","Praying Daily","AR","AS","Individualism High or Low","2011-13 Girls Suicide","2017-19 Girls Suicide","Changes in Suic","AX","AY","2011-13 Boys EU Suicide ","2017-19 Boys EU Suicide","BB","BC","Sex_Suicide Countries","2011-13 EU Suicide","2017-19 EU Suicide","BF","Country (2)","Girls Psych Distress 2002-10","Girls Psych Distress 2018","Boys Psych Distress 2002-10","Boys Psych Distress 2018","BL","Country Girls","Sex","Psych Distress 2002-10 Girls","Psych Distress 2018 Girls","BU","Country Boys","BW","Psych Distress 2002-10 Boys","Psych Distress 2018 Boys"
"Bulgaria",-1.4197903447964972,1.3180137485014,-0.25374585447877246,-1.3884777325213318,-0.7710587321959166,-0.1678940312,-1.833104195377113,-1.833104195377113,0.3141339583,0.3635503132696548,30,-1.4197903447964972,0.18,-0.25374585447877246,37.0,1.3180137485014,19203,4.283369081915453,-1.3884777325213318,-0.299,-0.7807855891891797,-0.491,-1.2421222773809866,-0.179,-0.7710587321959166,-0.179,-0.383,-1.5014919207476074,-0.383,,,,,,,,"Low Individualism",,0.19602978,0.19,0.3,0.15,,,,,,,,,,,,"Germany",2,6.3,6.1,,"Bulgaria",0.19602978,0.16311755,0.0944279,0.12409091,,"Bulgaria",1,0.19602978,0.16311755,,"Bulgaria",2,0.0944279,0.04541063
"Spain",-0.29660003778282995,1.0977267010591292,-0.024556050433429667,-0.0045674526823232765,-0.05650951135463435,-0.2098732546,-1.9643230990240255,-1.9643230990240255,-0.4935579818,-2.9035807619139162,51,-0.29660003778282995,0.21,-0.024556050433429667,36.1,1.0977267010591292,35983,4.5560973688242,-0.0045674526823232765,0.217,-0.1861045904693212,0.098,0.2869024596102534,0.16,-0.05650951135463435,0.16,0.198,1.0092445694402417,0.198,0.16,0.198,0.22,-0.19977968669739185,0.9375818620331141,,,"Low Individualism",0.16672408,0.13003166,0.23,0.25,0.23,,,,,,,,,,,,"Ireland",2,14.0,7.2,,"Spain",0.14201862,0.11221271,0.089666,0.04541063,,"Spain",1,0.14201862,0.11221271,,"Spain",2,0.089666,0.12895607
"Romania",-1.4197903447964972,1.073250362454432,2.572928395413789,-0.9821584555817354,-0.8659103986792728,-0.03797105848,-1.4269902023567917,-1.4269902023567917,-0.06870859397,-1.1850559527146844,30,-1.4197903447964972,0.55,2.572928395413789,36.0,1.073250362454432,23091,4.363442741279142,-0.9821584555817354,-0.378,-0.8718317110862124,-0.405,-1.0188690899764932,-0.224,-0.8659103986792728,-0.224,-0.2,-0.7106747474182161,-0.2,-0.224,-0.2,0.5,-0.9441076267859928,-0.7837381166319638,,,"Low Individualism",,0.2425343,0.5,0.64,0.44,,,,,,,,,,,,"Greece",2,2.0,2.1,,"Romania",0.22693626,0.21831925,0.13847016,0.12895607,,"Romania",1,0.22693626,0.21831925,,"Romania",2,0.13847016,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"France",2,5.8,4.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Italy",2,3.0,3.4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Latvia",2,12.1,12.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hungary",2,8.4,6.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Austria",2,7.9,9.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Portugal",2,2.2,2.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Romania",2,9.1,7.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Slovenia",2,8.4,9.0,,,,,,,,,,,,,,,,
